714
63	84	1
392	91	1
121	13	1
105	106	1
27	252	3
207	60	2
117	14	1
351	1	0
142	45	3
5	91	1
20	9	1
171	1	0
114	146	6
95	91	1
278	1	0
155	1	0
123	1	0
75	2	1
209	137	3
182	28	3
10	75	5
205	28	2
28	188	1
33	377	3
83	81	1
288	93	5
235	93	2
56	93	4
179	11	2
93	116	3
83	6	1
81	90	1
300	147	1
23	5	1
147	137	3
7	109	1
375	166	3
221	40	2
187	313	1
321	1	0
4	8	1
7	24	1
255	1	0
64	65	2
376	1	0
117	74	3
193	76	3
254	32	3
44	358	3
5	96	1
288	78	2
44	367	3
7	95	1
30	89	1
12	2	1
33	34	1
405	1	0
47	238	3
29	41	1
90	74	3
137	74	1
100	56	1
174	1	0
173	153	2
12	9	1
211	184	3
165	1	0
120	121	3
90	91	1
343	1	0
113	2	1
44	86	3
270	397	4
277	1	0
109	91	1
141	43	3
7	63	1
261	56	5
83	24	1
105	188	1
81	23	1
113	74	1
243	244	6
382	253	3
127	63	1
229	18	3
56	3	1
346	1	0
215	11	2
3	13	1
113	56	1
3	34	1
133	11	2
81	117	1
196	1	0
162	1	0
379	1	0
184	131	3
388	18	3
243	213	2
26	102	1
15	74	3
41	89	1
320	112	6
113	34	1
4	90	1
38	2	1
4	23	1
14	50	1
28	12	3
157	60	2
127	96	1
33	314	3
337	93	5
146	86	2
33	98	4
52	93	3
28	227	1
121	2	1
102	182	1
326	11	2
216	60	5
81	5	1
56	9	1
69	1	0
135	41	1
274	86	5
38	20	1
109	8	1
38	75	1
323	1	0
176	31	6
65	103	1
137	3	1
95	74	3
241	62	2
281	56	3
256	1	0
20	12	1
319	1	0
226	113	3
113	121	1
395	60	3
16	1	0
35	270	5
186	313	1
33	38	1
98	60	3
378	1	0
30	104	1
100	12	1
185	76	1
38	12	1
72	166	1
56	13	1
81	6	1
230	34	5
100	13	1
100	3	1
15	24	1
90	15	1
4	15	1
318	34	3
127	74	3
95	96	1
60	298	4
67	104	1
118	119	2
79	18	3
7	14	1
20	121	1
183	184	3
7	84	1
390	1	0
81	95	1
172	113	5
161	1	0
33	75	1
7	81	1
24	74	3
106	188	1
122	9	3
308	108	5
316	1	0
38	137	1
109	63	1
90	5	1
266	121	3
81	14	1
