586
7	9	0
254	92	0
99	0	1
410	0	1
87	221	0
292	0	1
393	13	2
228	60	1
314	0	1
0	29	0
193	32	4
17	5	0
152	92	0
223	92	0
122	35	0
210	242	1
319	87	4
209	8	2
123	32	4
189	0	1
112	7	2
313	46	2
347	54	0
261	32	4
419	46	2
76	24	4
208	118	6
62	504	5
404	32	4
153	8	2
106	46	4
426	4	2
236	122	2
17	18	0
184	87	1
180	95	4
0	207	0
109	87	1
0	111	0
8	82	0
0	33	0
7	171	0
37	114	0
81	5	0
98	22	4
34	48	0
195	181	6
191	457	7
23	24	4
70	0	1
243	32	4
450	22	4
149	176	0
10	0	1
470	230	0
17	171	0
273	8	2
55	56	0
0	500	0
13	5	0
328	294	0
288	333	4
209	256	3
187	81	2
57	7	2
87	260	0
185	212	4
336	337	5
90	16	0
0	282	0
0	487	0
227	87	4
237	13	2
11	43	3
87	192	0
85	44	0
0	36	0
349	95	4
10	75	4
209	300	7
382	141	2
0	110	0
278	0	1
87	496	0
0	375	0
344	25	1
418	141	2
239	46	4
422	54	0
341	37	4
357	54	0
373	329	4
60	61	0
137	13	4
0	83	0
106	0	1
371	81	2
109	25	4
471	32	4
116	22	4
0	441	0
85	35	0
214	50	0
247	46	1
7	44	0
294	229	0
275	50	0
13	9	0
0	258	0
34	35	0
339	32	4
131	132	1
246	0	1
299	0	1
341	87	1
68	16	0
91	92	0
378	22	4
92	329	0
8	127	0
77	54	0
46	18	0
51	0	1
0	194	0
387	22	4
243	0	1
440	166	1
0	384	0
74	0	1
85	9	0
428	46	2
360	122	2
234	0	1
455	75	4
323	32	4
81	127	0
248	22	4
0	459	0
141	127	0
452	32	4
301	0	1
340	7	4
46	5	0
41	32	4
130	13	2
217	92	0
271	32	4
338	202	1
160	17	2
281	34	2
0	478	0
132	230	0
215	329	0
17	35	0
301	87	4
390	0	1
0	334	0
219	176	0
353	32	4
0	197	0
228	32	4
141	5	0
482	22	4
462	85	2
165	296	6
230	56	0
436	22	4
283	81	2
133	0	1
309	0	4
100	0	4
85	72	0
276	52	4
188	32	4
27	28	0
212	213	0
156	28	1
153	154	7
105	55	0
28	343	0
139	88	1
0	127	0
325	0	1
219	54	0
293	54	0
229	230	0
210	211	1
51	52	4
4	9	0
93	81	2
81	82	0
0	379	0
286	166	1
212	111	0
23	28	1
298	87	1
162	0	1
220	92	0
340	0	1
107	22	4
60	127	0
49	50	0
456	38	4
483	0	1
0	488	0
0	64	0
151	0	1
502	81	2
79	55	0
202	203	0
74	75	4
310	311	1
123	0	1
102	17	1
196	50	0
386	32	4
370	46	2
122	82	0
13	72	0
78	54	0
381	202	1
351	230	0
42	32	4
195	0	1
263	32	4
122	5	0
128	32	4
104	44	0
404	0	1
11	244	7
336	17	2
366	329	0
131	327	4
413	329	0
0	147	0
339	88	1
81	72	0
429	104	4
59	0	1
295	8	4
7	66	0
279	22	4
395	88	1
122	127	0
46	475	0
167	168	1
6	7	2
0	322	0
4	44	0
264	0	4
0	335	0
445	413	4
141	82	0
208	28	1
253	28	4
304	75	4
463	7	2
0	412	0
146	22	4
224	4	2
88	179	0
405	50	0
257	141	2
430	22	4
30	28	4
163	164	0
28	229	0
0	372	0
0	437	0
183	34	2
318	206	0
359	122	4
284	68	0
37	35	0
46	461	0
67	68	0
80	81	2
120	81	2
0	480	0
479	79	4
290	13	2
362	22	4
0	150	0
177	141	4
0	235	0
435	230	4
115	17	2
121	122	4
0	265	0
13	44	0
200	55	4
0	303	0
104	82	0
170	4	4
65	32	4
101	0	1
7	127	0
17	44	0
407	22	4
85	66	0
425	0	1
288	289	1
34	87	0
122	114	0
122	18	0
121	0	1
157	158	5
406	88	4
60	444	0
167	17	4
429	202	1
135	136	7
350	32	4
81	35	0
214	215	0
190	22	4
37	5	0
448	32	4
96	7	4
0	472	0
277	131	8
0	216	0
305	52	4
443	0	1
0	73	0
319	465	1
0	389	0
367	22	4
0	47	0
212	82	0
246	32	4
104	127	0
46	9	0
76	0	1
276	327	1
85	5	0
11	12	3
227	13	1
87	494	0
81	18	0
181	0	4
8	44	0
84	46	1
88	490	0
501	294	0
13	82	0
287	54	0
129	54	0
0	18	0
96	87	1
448	0	1
62	453	7
420	32	4
104	111	0
34	374	0
291	0	1
232	32	4
4	171	0
295	168	1
37	127	0
31	32	4
15	16	0
37	82	0
307	22	4
0	238	0
53	54	0
0	321	0
11	433	7
399	85	4
273	256	3
483	24	4
25	270	0
209	43	3
